date,price,total_volume,market_cap,coin_name
2020-10-15,61.038420145171635,132708244.77914503,915358566.5801965,filecoin
2020-10-16,61.038420145171635,132708244.77914503,915358566.5801965,filecoin
2020-10-17,44.776151018739505,274288780.331303,696448104.4626515,filecoin
2020-10-18,42.37271342853077,98808556.8596685,685643708.4308554,filecoin
2020-10-19,32.71113233658529,76475484.52474798,547941026.327637,filecoin
2020-10-20,33.8709208971172,137021232.89625403,589652748.8900975,filecoin
2020-10-21,31.13609652657138,53539364.97384532,561260924.5694939,filecoin
2020-10-22,26.805785916433425,78677831.46504025,504058107.7526195,filecoin
2020-10-23,23.726553001137823,82368454.65617654,457773215.5734711,filecoin
2020-10-24,24.698251881253096,94966073.05700068,498912998.76787466,filecoin
2020-10-25,25.715797622859426,94324623.15035973,533304564.1533651,filecoin
2020-10-26,38.95813731766341,256373180.47346586,831426219.0333772,filecoin
2020-10-27,33.62610370159718,177735936.9260677,735842404.2936687,filecoin
2020-10-28,35.23708314972304,112150052.77565423,810185443.2369088,filecoin
2020-10-29,33.66986889228532,94647071.15054014,789683425.6468997,filecoin
2020-10-30,32.56480146503134,69548217.67366283,785185480.0337508,filecoin
2020-10-31,29.23454574803566,92361898.02342685,723733376.0240886,filecoin
2020-11-01,31.068181236508313,79127391.34417841,790579447.5429804,filecoin
2020-11-02,31.59249510134678,45473460.970511764,824027456.289055,filecoin
2020-11-03,29.721117221708248,69556469.16962257,797862243.2950337,filecoin
2020-11-04,28.863213090978785,53061021.01122654,784453957.084558,filecoin
2020-11-05,28.89940702403186,51858223.52657145,808899170.7512995,filecoin
2020-11-06,29.437496731232574,53073486.40389357,848688650.7816124,filecoin
2020-11-07,31.67873056481789,114784886.49214192,932478272.7988048,filecoin
2020-11-08,29.92173183428666,117187621.01006323,898570414.518341,filecoin
2020-11-09,30.71437762454573,43569925.030961335,946765111.5270143,filecoin
2020-11-10,31.27614564306925,70589681.3466677,980175251.297319,filecoin
2020-11-11,30.355539393303946,77788935.21881078,971324219.7046409,filecoin
2020-11-12,30.074590872459012,63350376.6847226,977836168.151562,filecoin
2020-11-13,29.50138763139613,64632402.47458432,980940186.3146718,filecoin
2020-11-14,29.18348938011425,46374964.61487351,989163131.68572,filecoin
2020-11-15,29.308241083537126,46656076.5521233,1010701349.2476013,filecoin
2020-11-16,27.754596975192612,64355871.76105965,972306708.8565435,filecoin
2020-11-17,27.47415850246156,66990195.44150138,983242022.5802612,filecoin
2020-11-18,29.04663591100442,98404410.91686241,1053531538.7069919,filecoin
2020-11-19,28.884041127283858,76981354.93860403,1065566004.7832322,filecoin
2020-11-20,28.836418294945485,44549185.46211414,1078997738.3542826,filecoin
2020-11-21,29.03297941534771,66565828.96830781,1104845751.636248,filecoin
2020-11-22,29.835385463370333,109827003.611973,1152020550.603267,filecoin
2020-11-23,28.97455195566526,74525001.3501965,1136336865.4502778,filecoin
2020-11-24,29.152495615482497,64478008.085590035,1159770309.1231425,filecoin
2020-11-25,29.69480828811275,119023651.02180421,1202725591.6704721,filecoin
2020-11-26,31.076483226999855,246696676.8440839,1264360564.8794208,filecoin
2020-11-27,29.859995505894357,176400314.3852683,1249059351.628235,filecoin
2020-11-28,29.956028039749977,71663334.72888185,1269516701.928657,filecoin
2020-11-29,29.92724371697021,52092461.75053196,1287329451.1674116,filecoin
2020-11-30,29.9657492276032,41468964.75579041,1305347569.5699754,filecoin
2020-12-01,30.291092806718957,80327102.26846689,1343914271.7988675,filecoin
2020-12-02,30.22263361850741,105841737.79278883,1350662411.9702575,filecoin
2020-12-03,30.638930347497723,69844238.14378643,1366916570.9937828,filecoin
